DATE_KEY,AS_OF_DATE_FORMATTED,PRODUCT_CODE,PRODUCT_NAME,PRODUCT_TYPE,FUND_CAPABILITY,PORTFOLIO_RANK,PORTFOLIO_BREAKDOWN_CODE,PORTFOLIO_BREAKDOWN_DESC,IS_EXPOSURE_FUND,PORTFOLIO_LEVEL1_DESCRIPTION,PORTFOLIO_LEVEL1_WEIGHT_PCT,PORTFOLIO_LEVEL1_TOTAL,INDEX_LEVEL1_WEIGHT_PCT,INDEX_LEVEL1_TOTAL,PORTFOLIO_LEVEL2_DESCRIPTION,PORTFOLIO_LEVEL2_WEIGHT_PCT,PORTFOLIO_LEVEL2_TOTAL,INDEX_LEVEL2_WEIGHT_PCT,INDEX_LEVEL2_TOTAL,PORTFOLIO_LEVEL1_GROSS_EXP_WGT_PCT,PORTFOLIO_LEVEL1_NET_EXP_WGT_PCT,PORTFOLIO_LEVEL2_GROSS_EXP_WGT_PCT,PORTFOLIO_LEVEL2_NET_EXP_WGT_PCT
20230831,31-Aug-23,USSMID,US Small-Mid Cap Fund,Fixed Income,Fixed Income,99,CRED_QUAL_SP,Credit Quality S&P,Yes,Credit Quality S&P,15.20%,1200000,14.80%,1150000,Sector Allocation,10.50%,800000,10.20%,780000,16.00%,14.50%,11.00%,9.80%
20230831,31-Aug-23,ASIAEQ,Asia Equity Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,12.30%,950000,11.90%,920000,Regional Allocation,8.70%,700000,8.50%,680000,13.00%,11.80%,9.00%,8.20%
20230831,31-Aug-23,EUROPB,European Bond Fund,Fixed Income,Fixed Income,,DUR_ALLOC,Duration Allocation,Yes,Duration Allocation,18.50%,1400000,17.90%,1350000,Credit Quality S&P,12.00%,900000,11.50%,870000,19.00%,17.50%,12.50%,11.00%
20230831,31-Aug-23,GLBINF,Global Infrastructure,Infrastructure,Infrastructure,,SECTOR_ALLOC,Sector Allocation,No,Regional Allocation,10.80%,850000,10.50%,820000,Sector Allocation,7.50%,600000,7.20%,580000,11.50%,10.20%,8.00%,7.00%
20230831,31-Aug-23,EMERGMKT,Emerging Markets Fund,Equity,Equity,,REG_ALLOC,Regional Allocation,Yes,Sector Allocation,14.00%,1100000,13.50%,1050000,ESG Allocation,9.50%,750000,9.00%,720000,15.00%,13.80%,10.00%,8.80%
20230831,31-Aug-23,USLARGE,US Large Cap Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,Credit Quality S&P,16.20%,1250000,15.80%,1200000,Duration Allocation,11.00%,850000,10.70%,820000,17.00%,15.50%,11.50%,10.50%
20230831,31-Aug-23,LATAMBND,Latin America Bond Fund,Fixed Income,Fixed Income,,CRED_QUAL_SP,Credit Quality S&P,Yes,Regional Allocation,9.80%,780000,9.50%,750000,Sector Allocation,6.80%,540000,6.50%,520000,10.50%,9.50%,7.00%,6.20%
20230831,31-Aug-23,JAPANEQ,Japan Equity Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,ESG Allocation,13.50%,1050000,13.00%,1000000,Regional Allocation,9.00%,700000,8.70%,680000,14.50%,12.80%,9.50%,8.50%
20230831,31-Aug-23,GLBTECH,Global Technology Fund,Technology,Technology,,SECTOR_ALLOC,Sector Allocation,Yes,Duration Allocation,17.00%,1300000,16.50%,1250000,Credit Quality S&P,11.50%,880000,11.00%,850000,18.00%,16.50%,12.00%,10.80%
20230831,31-Aug-23,CANBND,Canadian Bond Fund,Fixed Income,Fixed Income,,DUR_ALLOC,Duration Allocation,No,Sector Allocation,11.20%,880000,10.80%,850000,ESG Allocation,7.80%,620000,7.50%,600000,12.00%,10.80%,8.50%,7.50%
20230831,31-Aug-23,GLBHEALTH,Global Healthcare Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,Yes,Credit Quality S&P,15.50%,1220000,15.00%,1180000,Duration Allocation,10.80%,820000,10.50%,800000,16.50%,14.80%,11.00%,9.80%
20230831,31-Aug-23,USREIT,US Real Estate Fund,Real Estate,Real Estate,,REG_ALLOC,Regional Allocation,No,Regional Allocation,10.50%,820000,10.20%,800000,Sector Allocation,7.20%,580000,7.00%,560000,11.00%,9.80%,7.50%,6.50%
20230831,31-Aug-23,ASIAFIX,Asia Fixed Income Fund,Fixed Income,Fixed Income,,DUR_ALLOC,Duration Allocation,Yes,ESG Allocation,14.80%,1150000,14.20%,1100000,Regional Allocation,9.20%,720000,8.80%,700000,15.80%,13.50%,10.00%,8.80%
20230831,31-Aug-23,EUROPINF,European Infrastructure,Infrastructure,Infrastructure,,SECTOR_ALLOC,Sector Allocation,No,Duration Allocation,18.00%,1350000,17.50%,1300000,Credit Quality S&P,12.20%,920000,11.80%,900000,19.00%,17.00%,12.50%,11.20%
20230831,31-Aug-23,LATAMEQ,Latin America Equity Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,12.00%,950000,11.50%,920000,ESG Allocation,8.50%,680000,8.20%,660000,13.00%,11.50%,9.00%,8.00%
20230831,31-Aug-23,GLBENERGY,Global Energy Fund,Energy,Energy,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,16.00%,1300000,15.50%,1250000,Sector Allocation,11.20%,850000,10.80%,820000,17.00%,15.50%,12.00%,10.80%
20230831,31-Aug-23,JAPANBND,Japan Bond Fund,Fixed Income,Fixed Income,,DUR_ALLOC,Duration Allocation,No,Duration Allocation,13.50%,1050000,13.00%,1000000,Regional Allocation,9.50%,750000,9.20%,720000,14.50%,12.80%,10.00%,8.80%
20230831,31-Aug-23,EMERGINF,Emerging Markets Infra,Infrastructure,Infrastructure,,REG_ALLOC,Regional Allocation,Yes,Regional Allocation,18.20%,1450000,17.80%,1400000,ESG Allocation,12.50%,950000,12.00%,920000,19.50%,17.80%,13.00%,11.50%
20230831,31-Aug-23,CANEQ,Canadian Equity Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,11.80%,920000,11.50%,900000,Credit Quality S&P,8.20%,650000,8.00%,630000,12.50%,11.00%,8.50%,7.50%
20230831,31-Aug-23,GLBALT,Global Alternative Fund,Alternatives,Alternatives,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,14.50%,1120000,14.00%,1080000,Sector Allocation,10.00%,780000,9.70%,750000,15.50%,14.00%,10.50%,9.20%
20230831,31-Aug-23,GLBFIN,Global Financial Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,12.00%,950000,11.70%,920000,ESG Allocation,8.70%,680000,8.50%,660000,13.50%,12.00%,9.00%,8.00%
20230831,31-Aug-23,USSMALL,US Small Cap Fund,Equity,Equity,,REG_ALLOC,Regional Allocation,Yes,Regional Allocation,17.50%,1350000,17.00%,1300000,Duration Allocation,12.00%,900000,11.50%,870000,18.50%,16.50%,12.50%,11.20%
20230831,31-Aug-23,ASIAALT,Asia Alternative Fund,Alternatives,Alternatives,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,10.50%,820000,10.20%,800000,Regional Allocation,7.50%,580000,7.20%,560000,11.50%,10.20%,8.00%,7.00%
20230831,31-Aug-23,EUROPVAL,European Value Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,15.80%,1200000,15.30%,1150000,Credit Quality S&P,10.50%,800000,10.20%,780000,16.50%,14.80%,11.00%,9.80%
20230831,31-Aug-23,GLBESG,Global ESG Fund,Equity,Equity,,ESG_ALLOC,ESG Allocation,No,ESG Allocation,13.00%,1000000,12.50%,950000,ESG Allocation,9.00%,700000,8.70%,680000,14.00%,12.50%,9.50%,8.50%
20230831,31-Aug-23,LATAMINF,Latin America Infra Fund,Infrastructure,Infrastructure,,REG_ALLOC,Regional Allocation,Yes,Regional Allocation,16.50%,1250000,16.00%,1200000,Duration Allocation,11.50%,850000,11.00%,820000,17.50%,15.50%,12.00%,10.50%
20230831,31-Aug-23,JAPANTECH,Japan Technology Fund,Technology,Technology,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,12.50%,950000,12.00%,920000,Regional Allocation,8.50%,680000,8.20%,660000,13.50%,11.80%,9.00%,8.20%
20230831,31-Aug-23,GLBENERGY2,Global Renewable Energy,Energy,Energy,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,18.00%,1400000,17.50%,1350000,ESG Allocation,12.20%,920000,11.80%,900000,19.00%,17.00%,12.50%,11.20%
20230831,31-Aug-23,CANALT,Canadian Alternative Fund,Alternatives,Alternatives,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,11.50%,880000,11.20%,850000,Credit Quality S&P,7.80%,620000,7.50%,600000,12.00%,10.80%,8.50%,7.50%
20230831,31-Aug-23,GLBHEALTH2,Global Biotech Fund,Healthcare,Healthcare,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,14.80%,1150000,14.20%,1100000,ESG Allocation,9.20%,720000,8.80%,700000,15.80%,13.50%,10.00%,8.80%
20230831,31-Aug-23,USGROWTH,US Growth Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,10.80%,850000,10.50%,820000,Regional Allocation,7.50%,600000,7.20%,580000,11.50%,10.20%,8.00%,7.00%
20230831,31-Aug-23,ASIAREAL,Asia Real Estate Fund,Real Estate,Real Estate,,REG_ALLOC,Regional Allocation,Yes,Regional Allocation,15.50%,1220000,15.00%,1180000,Duration Allocation,10.80%,820000,10.50%,800000,16.50%,14.80%,11.00%,9.80%
20230831,31-Aug-23,EUFIXED,European Fixed Income,Fixed Income,Fixed Income,,DUR_ALLOC,Duration Allocation,No,Duration Allocation,10.50%,820000,10.20%,800000,ESG Allocation,7.20%,580000,7.00%,560000,11.00%,9.80%,7.50%,6.50%
20230831,31-Aug-23,GLBCLIMATE,Global Climate Fund,Energy,Energy,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,14.80%,1150000,14.20%,1100000,Regional Allocation,9.20%,720000,8.80%,700000,15.80%,13.50%,10.00%,8.80%
20230831,31-Aug-23,EMERGEQ,Emerging Markets Equity,Equity,Equity,,REG_ALLOC,Regional Allocation,No,Regional Allocation,18.00%,1350000,17.50%,1300000,Credit Quality S&P,12.20%,920000,11.80%,900000,19.00%,17.00%,12.50%,11.20%
20230831,31-Aug-23,USVALUE,US Value Fund,Equity,Equity,,SECTOR_ALLOC,Credit Quality S&P,No,Credit Quality S&P,10.50%,820000,10.20%,1300000,ESG Allocation,11.50%,820000,10.50%,800000,16.50%,14.80%,9.00%,8.00%
20230831,31-Aug-23,LATAMFIX,Latin America Fixed Inc.,Fixed Income,Fixed Income,,CRED_QUAL_SP,Credit Quality S&P,No,Credit Quality S&P,14.80%,1150000,14.20%,920000,Duration Allocation,7.80%,580000,7.00%,560000,11.00%,9.80%,12.50%,10.80%
20230831,31-Aug-23,JAPANALT,Japan Alternative Fund,Alternatives,Alternatives,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,18.00%,1350000,17.50%,1250000,Regional Allocation,10.80%,720000,8.80%,700000,15.80%,13.50%,8.00%,8.80%
20230831,31-Aug-23,GLBTECH2,Global AI Technology Fund,Technology,Technology,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,12.00%,950000,11.50%,1000000,Credit Quality S&P,7.20%,920000,11.80%,900000,19.00%,17.00%,10.00%,11.50%
20230831,31-Aug-23,CANFIX,Canadian Fixed Income,Fixed Income,Fixed Income,,DUR_ALLOC,Duration Allocation,Yes,Duration Allocation,16.00%,1300000,15.50%,1400000,ESG Allocation,9.20%,680000,8.20%,660000,13.00%,11.50%,11.50%,7.50%
20230831,31-Aug-23,USMICRO,US Micro Cap Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,13.50%,1050000,13.00%,900000,Duration Allocation,12.20%,850000,10.80%,820000,17.00%,15.50%,9.50%,11.20%
20230831,31-Aug-23,ASIAENERGY,Asia Energy Fund,Energy,Energy,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,18.20%,1450000,17.80%,1080000,Regional Allocation,8.50%,750000,9.20%,720000,14.50%,12.80%,8.50%,7.00%
20230831,31-Aug-23,EUROPTECH,European Tech Fund,Technology,Technology,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,11.80%,920000,11.50%,920000,ESG Allocation,11.20%,950000,12.00%,920000,19.50%,17.80%,7.50%,8.50%
20230831,31-Aug-23,GLBINFRA,Global Infrastructure 2,Infrastructure,Infrastructure,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,14.50%,1120000,14.00%,1300000,Credit Quality S&P,9.50%,650000,8.00%,630000,12.50%,11.00%,12.50%,10.50%
20230831,31-Aug-23,LATAMTECH,Latin America Tech Fund,Technology,Technology,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,12.00%,950000,11.70%,800000,ESG Allocation,12.50%,780000,9.70%,750000,15.50%,14.00%,12.00%,8.20%
20230831,31-Aug-23,JAPANREAL,Japan Real Estate Fund,Real Estate,Real Estate,,REG_ALLOC,Regional Allocation,Yes,Regional Allocation,17.50%,1350000,17.00%,1150000,Regional Allocation,8.20%,680000,8.50%,660000,13.50%,12.00%,10.00%,11.20%
20230831,31-Aug-23,GLBALT2,Global Alternative Fund 2,Alternatives,Alternatives,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,10.50%,820000,10.20%,950000,Duration Allocation,10.00%,900000,11.50%,870000,18.50%,16.50%,13.00%,8.80%
20230831,31-Aug-23,CANENERGY,Canadian Energy Fund,Energy,Energy,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,15.80%,1200000,15.30%,1200000,ESG Allocation,8.70%,580000,7.20%,560000,11.50%,10.20%,8.50%,7.00%
20230831,31-Aug-23,GLBHEALTH3,Global Pharma Fund,Healthcare,Healthcare,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,13.00%,1000000,12.50%,920000,Regional Allocation,12.00%,800000,10.20%,780000,16.50%,14.80%,10.50%,9.80%
20230831,31-Aug-23,USVALUE2,US Value Fund 2,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,16.50%,1250000,16.00%,1350000,Credit Quality S&P,7.50%,700000,8.70%,680000,14.00%,12.50%,9.00%,6.50%
